,Subject,PC_17Network_ThaROI401,PC_17Network_ThaROI402,PC_17Network_ThaROI403,PC_17Network_ThaROI404,PC_17Network_ThaROI405,PC_17Network_ThaROI406,PC_17Network_ThaROI407,PC_7Network_ThaROI401,PC_7Network_ThaROI402,PC_7Network_ThaROI403,PC_7Network_ThaROI404,PC_7Network_ThaROI405,PC_7Network_ThaROI406,PC_7Network_ThaROI407
30,DODASD045,0.6970160871725684,0.6924805722940272,0.0,0.6198885381477445,0.6897578689858882,0.5016492240682301,0.0,0.7608835848991874,0.748191169037647,0.0,0.6724911220208738,0.7524974500763615,0.5178693684671933,0.0
31,DODASD046,0.7085014667104058,0.6968797372371716,0.5936446841279377,0.7234445946829996,0.7145733214894386,0.6781049987162572,0.6339082937125738,0.7214931517506634,0.7076964230071977,0.595817941059494,0.7560633738352187,0.7388344632185934,0.6878500012830359,0.6376199347280846
32,DODASD048,0.7245472824832762,0.7273564240741041,0.7292578102542496,0.7194319331199878,0.7242253081942173,0.7279393941677089,0.7260904141015923,0.8061828938311651,0.8062125120216161,0.8068920201167582,0.8012374272604855,0.807649359848771,0.8037336645772222,0.8065097349780299
33,DODASD052,0.5166282476090484,0.4854735373611897,0.2566459686755562,0.3431069535295447,0.431475869801392,0.46319685694371804,0.08113336697227659,0.5167924077660374,0.4862211029108165,0.2644572184210162,0.3431069275027875,0.4311632531133126,0.46435645186699775,0.08113336697227659
34,DODCON001,0.0,0.0,0.3781937406504694,0.08745786481712073,0.04495692447295116,0.26068184411136835,0.0,0.0,0.0,0.3825519405486099,0.08745786481712073,0.04495692447295116,0.26318582025495646,0.0
35,DODCON002,0.749934294784844,0.7556319035509074,0.7688785969424117,0.7650727153019009,0.7579901281342605,0.7684955862410615,0.7701263040968289,0.821824189980017,0.8261026021410551,0.8362726190049007,0.8398151606869891,0.8271444347040425,0.8377712787555633,0.842054006798577
36,DODCON003,0.6608958216859299,0.676175573723939,0.19714093088422702,0.6906781453321492,0.6970323480870462,0.682451697434625,0.3729603361227825,0.7258326377080573,0.7441307296969278,0.22278993004089118,0.7709228032415175,0.7743569142444219,0.7538343299471592,0.4113560253957798
37,DODCON004,0.0,0.0,0.0,0.0,0.0,0.18803193829981038,0.0,0.0,0.0,0.0,0.0,0.0,0.18084371514742534,0.0
38,DODCON005,0.7509848450773557,0.7480467705833221,0.755718471744764,0.7483126436339618,0.755869781465299,0.7520077819030309,0.7412342917238072,0.7971689534854319,0.7967393852394387,0.8029570042422626,0.7853332928150579,0.7962491822821558,0.8025431004429002,0.7793779966450426
39,DODCON006,0.7524589586172078,0.751986798483643,0.7521335697381732,0.7538691080024933,0.7526214550380323,0.7519996488726779,0.7538367977250179,0.8184175733994322,0.8189707028073456,0.8192016545305312,0.8196308898773244,0.818378322106669,0.8191572367268608,0.8213776450312825
40,DODCON007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,DODCON008,0.7618851236406208,0.7617879100643118,0.7653984956856383,0.7625018713430619,0.7613109564473812,0.7658679698304958,0.7622603781002749,0.8012250974280128,0.8015418200680448,0.8049934579216309,0.8042736908374407,0.8006858714234935,0.8055989260220177,0.8043850094325361
42,DODCON009,0.764309139077156,0.7642652029828952,0.7706502345642037,0.7208913736044805,0.7540148373221854,0.7688379869850093,0.7226308401667669,0.8254094271305493,0.8260097686433987,0.8316792752755405,0.7942003074127573,0.8170891107645986,0.8315527570238775,0.7851786344722985
43,DODCON010,0.753474326400661,0.7421582384040106,0.7683203115090741,0.7323396239030789,0.7633792654676088,0.7297870923242388,0.679254139432472,0.8214984298219302,0.8111259692160839,0.8243461387879717,0.7676603842072922,0.8292118603724906,0.7876909693747748,0.7182707440169378
44,DODCON011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,DODCON012,0.7395025075355506,0.7422546871558545,0.7378862132860268,0.6789111375689377,0.7368328842648082,0.7525109295087179,0.6805853205805289,0.8130025978903213,0.8156667464341453,0.8016692676869872,0.7307601916647571,0.8105420932547985,0.8206712064150914,0.7326951719293351
46,DODCON013,0.08980810285015971,0.3790129166849167,0.09376481292161319,0.0,0.09266035555349533,0.4117055262630066,0.0,0.08980810285015971,0.47797136995805706,0.09376481292161319,0.0,0.09266035555349533,0.6463397230251113,0.0
47,DODCON014,0.756957130641846,0.7559336235581445,0.08113154156956237,0.6894298390092322,0.7604058053512092,0.7545507090730704,0.5606429350221627,0.8151831889311855,0.8098921348202595,0.08113154156956237,0.7517110221352385,0.8209519605234281,0.8054309561118327,0.6207935360299207
48,DODCON015,0.7413980167723309,0.7395790505086864,0.7303279045597164,0.7488946650962721,0.7453311658787896,0.7406871666431474,0.7468874291390235,0.7877433221668575,0.7870293166581697,0.7722502679590547,0.79543313358955,0.78841454508232,0.789569497366871,0.7891017119237772
49,DODCON016,0.0,0.0,0.0,0.24724195540600347,0.0,0.1292369840993908,0.3155485936881223,0.0,0.0,0.0,0.2515715471964955,0.0,0.1292369840993908,0.32944900357782203
50,DODCON018,0.7352007589449543,0.7359272482985559,0.7352951597232417,0.6941260258970066,0.7322826549902487,0.7361574153180018,0.7090210673004047,0.8051649791144763,0.8049365021389466,0.8064357887508045,0.7811398366527637,0.8039988630848682,0.8075186069336535,0.796142069865221
51,DODCON019,0.6933827372180918,0.7236587163428911,0.0,0.19488572111717992,0.7082179233633924,0.689117340306088,0.0,0.7181573195880586,0.7510271414320102,0.0,0.21981938942011323,0.7424741164804651,0.7139971978372098,0.0
52,DODCON020,0.2592496955197628,0.0,0.0,0.5012597518818369,0.41084626168471544,0.0,0.12043107742968416,0.2592496955197628,0.0,0.0,0.5313954538099458,0.4423430284802208,0.0,0.12043107742968416
53,DODCON021,0.0,0.03352255744592234,0.13432898826137452,0.3075432006572438,0.0,0.1512028892726847,0.7063424318644631,0.0,0.03130235881132171,0.1292926186939266,0.32823266563118036,0.0,0.14287505839567646,0.7707817601340744
54,DODCON022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,DODCON023,0.7124187655433172,0.7089463240716923,0.7116057016628866,0.7109770696127392,0.7100662468353836,0.7143512202599034,0.7008504861347171,0.770063348789149,0.765651083217172,0.7683833898956111,0.7646084350223723,0.7665642580673254,0.7711821032788123,0.749915994999078
56,DODCON024,0.7560140610822453,0.755826887269,0.7540994601738085,0.7496884043156914,0.7561937095781531,0.7571043283257346,0.7385297721507667,0.826823133474607,0.8260331447045118,0.8264903338539136,0.8237681970130812,0.8260109316252489,0.8278976564005518,0.8135237151590115
